model-1581380785,1581380786.909,0.5,0.25,0.44,0.25
model-1581380785,1581380787.617,0.46,0.25,0.46,0.25
model-1581380785,1581380787.781,0.53,0.25,0.45,0.26
model-1581380785,1581380787.947,0.51,0.25,0.53,0.25
model-1581380785,1581380788.113,0.49,0.25,0.57,0.25
model-1581380785,1581380788.302,0.59,0.25,0.56,0.25
model-1581380785,1581380788.475,0.55,0.25,0.51,0.25
model-1581380785,1581380788.637,0.47,0.25,0.56,0.25
model-1581380785,1581380788.802,0.58,0.25,0.49,0.25
model-1581380785,1581380788.975,0.51,0.25,0.54,0.25
model-1581380785,1581380789.14,0.63,0.25,0.59,0.25
model-1581380785,1581380789.306,0.61,0.25,0.44,0.25
model-1581380785,1581380789.468,0.47,0.25,0.48,0.25
model-1581380785,1581380789.633,0.53,0.25,0.52,0.25
model-1581380785,1581380789.809,0.56,0.25,0.57,0.25
model-1581380785,1581380789.983,0.59,0.25,0.59,0.24
model-1581380785,1581380790.154,0.58,0.25,0.57,0.25
model-1581380785,1581380790.32,0.56,0.25,0.56,0.25
model-1581380785,1581380790.49,0.59,0.25,0.55,0.25
model-1581380785,1581380790.657,0.6,0.24,0.47,0.25
model-1581380785,1581380790.815,0.56,0.25,0.55,0.25
model-1581380785,1581380790.977,0.57,0.24,0.55,0.24
model-1581380785,1581380791.144,0.44,0.27,0.51,0.25
model-1581380785,1581380791.311,0.49,0.26,0.49,0.25
model-1581380785,1581380791.47,0.46,0.25,0.54,0.25
model-1581380785,1581380791.631,0.57,0.24,0.57,0.25
model-1581380785,1581380791.794,0.53,0.25,0.59,0.24
model-1581380785,1581380791.955,0.47,0.25,0.46,0.25
model-1581380785,1581380792.127,0.54,0.24,0.49,0.24
model-1581380785,1581380792.296,0.63,0.24,0.58,0.24
model-1581380785,1581380792.463,0.55,0.25,0.59,0.24
model-1581380785,1581380792.62,0.57,0.24,0.55,0.25
model-1581380785,1581380792.798,0.57,0.25,0.65,0.24
model-1581380785,1581380792.979,0.67,0.24,0.54,0.25
model-1581380785,1581380793.156,0.57,0.24,0.54,0.25
model-1581380785,1581380793.333,0.49,0.25,0.53,0.25
model-1581380785,1581380793.503,0.57,0.25,0.58,0.24
model-1581380785,1581380793.671,0.62,0.24,0.53,0.25
model-1581380785,1581380793.839,0.49,0.25,0.53,0.25
model-1581380785,1581380794.007,0.47,0.25,0.58,0.24
model-1581380785,1581380794.175,0.61,0.24,0.58,0.24
model-1581380785,1581380794.344,0.54,0.24,0.7,0.23
model-1581380785,1581380794.51,0.63,0.23,0.56,0.25
model-1581380785,1581380794.668,0.56,0.25,0.65,0.23
